CM,MAJOR,1|5|8
Cm,MINOR,1|4|8
C7,DOMINANT7,1|5|8|11
Cm7,MINOR7,1|4|8|11
Cmaj7,MAJOR7,1|5|8|12
Cm7b5,HALF_DIMINISHED7,1|4|7|11

C#M,MAJOR,2|6|9
C#m,MINOR,2|5|9
C#7,DOMINANT7,2|6|9|12
C#m7,MINOR7,2|5|9|12
C#maj7,MAJOR7,2|6|9|1
C#m7b5,HALF_DIMINISHED7,2|5|8|12

DM,MAJOR,3|7|10
Dm,MINOR,3|6|10
D7,DOMINANT7,3|7|10|1
Dm7,MINOR7,3|6|10|1
Dmaj7,MAJOR7,3|7|10|2
Dm7b5,HALF_DIMINISHED7,3|6|9|1

D#M,MAJOR,4|8|11
D#m,MINOR,4|7|11
D#7,DOMINANT7,4|8|11|2
D#m7,MINOR7,4|7|11|2
D#maj7,MAJOR7,4|8|11|3
D#m7b5,HALF_DIMINISHED7,4|7|10|2

EM,MAJOR,5|9|12
Em,MINOR,5|8|12
E7,DOMINANT7,5|9|12|3
Em7,MINOR7,5|8|12|3
Emaj7,MAJOR7,5|9|12|4
Em7b5,HALF_DIMINISHED7,5|8|11|3

FM,MAJOR,6|10|1
Fm,MINOR,6|9|1
F7,DOMINANT7,6|10|1|4
Fm7,MINOR7,6|9|1|4
Fmaj7,MAJOR7,6|10|1|5
Fm7b5,HALF_DIMINISHED7,6|9|12|4

F#M,MAJOR,7|11|2
F#m,MINOR,7|10|2
F#7,DOMINANT7,7|11|2|5
F#m7,MINOR7,7|10|2|5
F#maj7,MAJOR7,7|11|2|6
F#m7b5,HALF_DIMINISHED7,7|10|1|5

GM,MAJOR,8|12|3
Gm,MINOR,8|11|3
G7,DOMINANT7,8|12|3|6
Gm7,MINOR7,8|11|3|6
Gmaj7,MAJOR7,8|12|3|7
Gm7b5,HALF_DIMINISHED7,8|11|2|6

G#M,MAJOR,9|1|4
G#m,MINOR,9|12|4
G#7,DOMINANT7,9|1|4|7
G#m7,MINOR7,9|12|4|7
G#maj7,MAJOR7,9|1|4|8
G#m7b5,HALF_DIMINISHED7,9|12|3|7

AM,MAJOR,10|2|5
Am,MINOR,10|1|5
A7,DOMINANT7,10|2|5|8
Am7,MINOR7,10|1|5|8
Amaj7,MAJOR7,10|2|5|9
Am7b5,HALF_DIMINISHED7,10|1|4|8

A#M,MAJOR,11|3|6
A#m,MINOR,11|2|6
A#7,DOMINANT7,11|3|6|9
A#m7,MINOR7,11|2|6|9
A#maj7,MAJOR7,11|3|6|10
A#m7b5,HALF_DIMINISHED7,11|2|5|9

BM,MAJOR,12|4|7
Bm,MINOR,12|3|7
B7,DOMINANT7,12|4|7|10
Bm7,MINOR7,12|3|7|10
Bmaj7,MAJOR7,12|4|7|11
Bm7b5,HALF_DIMINISHED7,12|3|6|10
